timestamp,source,nombre,categoria,subcategoria,reason,suggested_category,suggested_subcategory,confidence
2026-06-01T22:38:24,scraper_lider,Alimento Seco Cachorro Raza Mediana/grande Sabor Carne Y Leche Bolsa 3 Kg Master Dog,"Lacteos, Huevos y Congelados",Leche,mascota_fuera_de_mascotas,Mascotas,Alimento Perros,Alta
2026-06-01T22:38:24,scraper_lider,Galletas Cachorro Raza Grande Sabor Leche Bolsa 500 g Master Dog,"Lacteos, Huevos y Congelados",Leche,mascota_fuera_de_mascotas,Mascotas,Alimento Perros,Alta
2026-06-01T22:38:24,scraper_lider,Alimento Seco Gatito Sabor Carne Y Leche Bolsa 3 kg Whiskas,"Lacteos, Huevos y Congelados",Leche,mascota_fuera_de_mascotas,Mascotas,Alimento Perros,Alta
2026-06-01T22:38:24,scraper_lider,Alimento Seco Gatito Sabor Carne Y Leche Bolsa 1 Kg Champion Cat,"Lacteos, Huevos y Congelados",Leche,mascota_fuera_de_mascotas,Mascotas,Alimento Gatos,Alta
2026-06-01T22:38:24,scraper_lider,Alimento Seco Gatito Sabor Carne Y Leche Bolsa 1 Kg Whiskas,"Lacteos, Huevos y Congelados",Leche,mascota_fuera_de_mascotas,Mascotas,Alimento Perros,Alta
2026-06-01T22:38:24,scraper_lider,Tónico Rose Care Leche & Tonico Micelar 2 En 1 200 ml Nivea,"Lacteos, Huevos y Congelados",Leche,higiene_fuera_de_higiene,Higiene Personal,Cuidado Facial,Alta
2026-06-01T22:38:24,scraper_lider,"Alimento Para Perros Cachorro Raza Mediana Seco Carne, Pollo, Frutas Y Leche 12 kg Dog Chow","Lacteos, Huevos y Congelados",Leche,mascota_fuera_de_mascotas,Mascotas,Alimento Perros,Alta
2026-06-01T22:38:24,scraper_lider,Saborizante Para Leche Chocolate Bolsa Activgo 1 Kg Milo,"Lacteos, Huevos y Congelados",Huevos,bebida_fuera_de_bebidas,Bebidas,Bebidas,Media
2026-06-01T22:38:24,scraper_lider,Bebida Láctea Probiótico Sabor Frambuesa Multipack Botella 80ml Chamyto,"Lacteos, Huevos y Congelados",Huevos,bebida_fuera_de_bebidas,Bebidas,Bebidas,Media
2026-06-01T22:38:24,scraper_lider,Bebida Láctea Probiótico Sabor Manzana Multipack Botella 80ml Chamyto,"Lacteos, Huevos y Congelados",Huevos,bebida_fuera_de_bebidas,Bebidas,Bebidas,Media
2026-06-01T22:38:24,scraper_lider,Bebida Láctea Probiótico Sabor Frutilla Multipack Botella 80ml Chamyto,"Lacteos, Huevos y Congelados",Huevos,bebida_fuera_de_bebidas,Bebidas,Bebidas,Media
2026-06-01T22:38:25,scraper_lider,Saborizante Para Leche Chocolate Tradicional 620 g Milo,"Lacteos, Huevos y Congelados",Huevos,bebida_fuera_de_bebidas,Bebidas,Bebidas,Media
2026-06-01T22:38:26,scraper_lider,Bebida Vegetal Notmilk Chocolate 1 L NotCo,"Lacteos, Huevos y Congelados",Huevos,bebida_fuera_de_bebidas,Bebidas,Bebidas,Media
2026-06-01T22:38:26,scraper_lider,Leche Con Chocolate Protein Up 330 ml Milo,"Lacteos, Huevos y Congelados",Huevos,bebida_fuera_de_bebidas,Bebidas,Bebidas,Media
2026-06-01T22:38:26,scraper_lider,Bebida Láctea Probiótico Uno Sabor Frutilla Pack 6 Caja 6 Un Soprole,"Lacteos, Huevos y Congelados",Huevos,bebida_fuera_de_bebidas,Bebidas,Bebidas,Media
2026-06-01T22:38:27,scraper_lider,Bebida Leche Láctea Yogu Yogu Chirimoya Caja,"Lacteos, Huevos y Congelados",Huevos,bebida_fuera_de_bebidas,Bebidas,Bebidas,Media
2026-06-01T22:38:27,scraper_lider,Bebida Vegetal De Avellana Sabor Chocolate Caja 1 L Vivicosí,"Lacteos, Huevos y Congelados",Huevos,bebida_fuera_de_bebidas,Bebidas,Bebidas,Media
2026-06-01T22:38:27,scraper_lider,Bebida Láctea Probiótico Defensas Con Bombilla Sabor Multifruta Caja 6 Un Soprole UNO,"Lacteos, Huevos y Congelados",Huevos,bebida_fuera_de_bebidas,Bebidas,Bebidas,Media
2026-06-01T22:38:28,scraper_lider,Bebida Vegetal Notmilk Chocolate Tetra Pak 200 ml NotCo,"Lacteos, Huevos y Congelados",Huevos,bebida_fuera_de_bebidas,Bebidas,Bebidas,Media
2026-06-01T22:38:28,scraper_lider,Desodorante Spray Nivea Black&white Original Masculino Xl Hombre,"Lacteos, Huevos y Congelados",Huevos,higiene_fuera_de_higiene,Higiene Personal,Desodorantes,Alta
2026-06-01T22:38:29,scraper_lider,Bebida Vegetal Almendras Sabor Original 1 L Vilay,"Lacteos, Huevos y Congelados",Huevos,bebida_fuera_de_bebidas,Bebidas,Bebidas,Media
2026-06-01T22:38:30,scraper_lider,Bebida Vegetal Café Caramelo Protein Sin Azúcar 250 ml NotCo,"Lacteos, Huevos y Congelados",Huevos,bebida_fuera_de_bebidas,Bebidas,Bebidas,Media
2026-06-01T22:38:30,scraper_lider,Bebida Vegetal Proteína 1 L Nature's Heart,"Lacteos, Huevos y Congelados",Huevos,bebida_fuera_de_bebidas,Bebidas,Bebidas,Media
