cantidad_productos,formatos,marcas,motivos,muestra_nombres,producto_base,productos_ids
2,0.2l;1l,surlat,formatos incompatibles,Leche Descremada Sin Lactosa Caja 200 ml Surlat | Leche Descremada Sin Lactosa Caja 1 L Surlat,leche_descremada_caja_surlat_sin_lactosa,33;36
2,0.85kg;1.44kg,calo,formatos incompatibles,Leche En Polvo Entera Bolsa 850 g Calo | Leche En Polvo Entera Bolsa 1440 g Calo,leche_en_polvo_bolsa_calo_entera,62;143
2,0.35kg;0.8kg,colun,formatos incompatibles,Leche En Polvo Descremada Bolsa 800 g Colun | Leche En Polvo Descremada Bolsa 350 g Colun,leche_en_polvo_bolsa_colun_descremada,82;126
3,0.2l;1l,soprole,formatos incompatibles,Leche Semidescremada Cookies And Cream 200 ml Soprole | Leche Soprole Semidescremada Cookies And Cream 200 ml | Leche Soprole Semidescremada Cookies And Cream 1 L,leche_cookies_and_cream_soprole_semidescremada,85;6073;6353
2,0.9kg;1.44kg,colun,formatos incompatibles,Leche En Polvo Entera Bolsa 1440 g Colun | Leche En Polvo Entera Bolsa 900 g Colun,leche_en_polvo_bolsa_colun_entera,91;125
2,0.2l;1l,colun,formatos incompatibles,Leche Semidescremada Original Sabor Chocolate 200 ml Colun | Leche semidescremada colun original sabor chocolate 1 l,leche_original_sabor_chocolate_colun_semidescremada,98;29353
3,0.18kg;0.4kg,lider,formatos incompatibles,Saborizante Para Leche En Polvo Fortificado Sabor Chocolate 180 g Lider | Saborizante Para Leche En Polvo Fortificado Sabor Frutilla 400 g Lider | Saborizante Para Leche En Polvo Fortificado Sabor Vainilla 180 g Lider,saborizante_para_leche_en_fortificado_sabor,106;107;183
3,0.2l;1l,surlat,formatos incompatibles,Leche Descremada Whey Proteína Chocolate 1 L Surlat | Leche surlat whey proteína descremada chocolate 200 ml | Leche surlat whey proteína descremada chocolate 1 l,leche_whey_proteina_chocolate_surlat_descremada,108;29340;29369
4,0.1kg;0.2kg;0.34kg;0.36kg,sin marca,formatos incompatibles,Chocolate De Leche 340 g Toblerone | Chocolate de Leche Toblerone 200 g | Chocolate de Leche Toblerone 100 g | Chocolate de Leche Toblerone 360 g,chocolate_leche_toblerone_sin_marca_general,123;18780;18839;19097
3,0.2l;1l,surlat,formatos incompatibles,Leche Descremada Whey Protein Chocolate 200 ml Surlat | Leche Descremada Surlat Whey Protein Chocolate 200 ml | Leche Descremada Surlat Whey Protein Chocolate 1 L,leche_whey_protein_chocolate_surlat_descremada,153;6192;6234
2,0.3019kg;0.6038kg,sin marca,formatos incompatibles,"Chocolate Con Leche Mix 301,9 g M&M'S | Chocolate Con Leche Mix 603,8 g M&M'S",chocolate_con_leche_mix_m_s,190;200
6,0.055kg;0.08kg;0.125kg;0.1kg,sin marca,formatos incompatibles,Chocolate De Leche 55 g Milka | Chocolate De Leche 80 g Milka | Chocolate de Leche Milka 55 g | Chocolate de Leche Milka 80 g | Chocolate de Leche Milka 125 g,chocolate_leche_milka_sin_marca_general,195;242;18405;18774;18778;19877
4,0.031kg;0.048kg;0.142kg;6un,sin marca,formatos incompatibles,Chocolate Con Leche 31 g M&M'S | Chocolate Con Leche 48 g M&M'S | Chocolate Con Leche 6 Un M&M'S | Chocolate Con Leche 142 g M&M'S,chocolate_con_leche_m_s_sin,197;265;283;302
3,0.0462kg;0.127kg;0.487kg,sin marca,formatos incompatibles,"Chocolate Con Leche Y Mantequilla De Maní 46,2 g M&M'S | Chocolate Con Leche Y Mantequilla De Maní 487 g M&M'S | Chocolate Con Leche Y Mantequilla De Maní 127 g M&M'S",chocolate_con_leche_mantequilla_mani_m,202;313;317
4,0.024kg;0.08kg;0.15kg,sin marca,formatos incompatibles,Chocolate De Leche 24 g Trencito | Chocolate de Leche Trencito 150 g | Chocolate de Leche Trencito 24 g | Chocolate de Leche Trencito 80 g,chocolate_leche_trencito_sin_marca_general,238;17171;18346;18771
3,0.25kg;0.5kg,sin marca,formatos incompatibles,Caluga Leche 500 g De mi Campo | Caluga Leche 250 g De mi Campo | Caluga de Leche de Mi Campo 250 g,caluga_leche_mi_campo_sin_marca,247;304;18029
2,0.25kg;1kg,lider,formatos incompatibles,Puré De Papas Instantáneo Con Leche 1 Kg Lider | Puré De Papas Instantáneo Con Leche 250 g Lider,pure_papas_instantaneo_con_leche_lider,251;266
3,0.049kg;0.142kg;0.512kg,sin marca,formatos incompatibles,Chocolate Con Leche Y Maní 512 g M&M'S | Chocolate Con Leche Y Maní 142 g M&M'S | Chocolate Con Leche Y Maní 49 g M&M'S,chocolate_con_leche_mani_m_s,255;257;280
3,2.5kg;3kg,sin marca,formatos incompatibles,"Alimento Seco Cachorro Raza Mediana/grande Sabor Carne Y Leche Bolsa 3 Kg Master Dog | Alimento Seco Cachorro Raza Mediana/grande Carne Bolsa 3 Kg Champion Dog | Alimento Seco Cachorro Raza Mediana/grande Sabor Pollo Bolsa 2,5 Kg Animal Planet",alimento_seco_cachorro_raza_mediana_grande,306;1895;1989
3,1kg;3kg,sin marca,formatos incompatibles,Alimento Seco Gatito Sabor Carne Y Leche Bolsa 1 Kg Champion Cat | Alimento Seco Gatito Sabor Carne Y Leche Bolsa 3 kg Whiskas | Alimento Seco Gatito Sabor Carne Y Leche Bolsa 1 Kg Whiskas,alimento_seco_gatito_sabor_carne_leche,309;328;331
6,10un;12un;20un;6un,ecoterra;sin marca,marcas distintas,Huevos De Campo Y Gallina Libre Grande Color 20 Un Selección | Huevos De Campo Y Gallina Libre Grande Color 12 Un Selección | Huevos De Campo Y Gallina Libre Grande Color 6 Un La Granja | Huevos De Campo Y Gallina Libre Grande Color 10 Un Ecoterra | Huevos De Campo Y Gallina Libre Grande Color 12 Un La Granja,huevos_campo_gallina_libre_grande_color,344;346;355;366;379;380
2,18un;30un,ecoterra;sin marca,marcas distintas,Huevos De Campo Y Gallina Libre Mediano Color 30 Un Ecoterra | Huevos De Campo Y Gallina Libre Mediano Color 18 Un La Granja,huevos_campo_gallina_libre_mediano_color,356;374
2,0.38kg;0.4kg,nido,formatos incompatibles,Fideo Pasta Al Huevo Nidos De Fetuccini Bolsa 400 g Talliani | Fideo Pasta Al Huevo Nidos De Fetuccini Bolsa 380 g Trattoria,fideo_pasta_al_huevo_nidos_fetuccini,389;715
2,0.2kg;0.45kg,sin marca,formatos incompatibles,Margarina Mix Tradicional 450 g Sureña | Margarina Mix Tradicional 200 g Sureña,margarina_mix_tradicional_surena_sin_marca,478;819
2,0.125kg;0.25kg,sin marca,formatos incompatibles,Mantequilla Con Sal Tradicional 125 g Los Alerces | Mantequilla Con Sal Tradicional 250 g Los Alerces,mantequilla_con_sal_tradicional_los_alerces,488;653
2,0.16kg;0.32kg,sin marca,formatos incompatibles,Queso Gauda Granulado 320 g Doña Paula | Queso Gauda Granulado 160 g Doña Paula,queso_gauda_granulado_dona_paula_sin,499;1038
5,0.15kg;0.25kg;0.5kg,soprole,formatos incompatibles,Queso Mantecoso Quilque Laminado 500 g Soprole | Queso Mantecoso Quilque Laminado 250 g Soprole | Queso Mantecoso Quilque Laminado 150 g Soprole | Queso mantecoso quilque soprole laminado 250 g | Queso mantecoso quilque soprole laminado 150 g,queso_mantecoso_quilque_laminado_soprole_general,521;752;876;29876;29978
2,0.35kg;0.47kg,sin marca,formatos incompatibles,Queso Mantecoso Laminado 470 g Las Parcelas de Valdivia | Queso Mantecoso Laminado 350 g Las Parcelas de Valdivia,queso_mantecoso_laminado_las_parcelas_valdivia,541;687
2,0.233kg;0.434kg,sin marca,formatos incompatibles,Queso Chanco Laminado 233 g Las Parcelas de Valdivia | Queso Chanco Laminado 434 g Las Parcelas de Valdivia,queso_chanco_laminado_las_parcelas_valdivia,542;1060
2,0.2kg;0.4kg,sin marca,formatos incompatibles,Queso Chanco Trozo 400 g Doña Paula | Queso Chanco Trozo 200 g Doña Paula,queso_chanco_trozo_dona_paula_sin,555;558
2,0.09kg;0.5kg,sin marca,formatos incompatibles,Queso Mantecoso Laminado 90 g Doña Paula | Queso Mantecoso Laminado 500 g Doña Paula,queso_mantecoso_laminado_dona_paula_sin,556;919
3,0.15kg;0.25kg,sin marca,formatos incompatibles,Pechuga De Pollo Asada 150 g Super Pollo | Pechuga de Pollo Asada Super Pollo 150 g | Pechuga de Pollo Asada Super Pollo 250 g,pechuga_pollo_asada_super_sin_marca,620;12399;12476
3,0.125kg;0.15kg;0.2kg,sin marca,formatos incompatibles,Pechuga De Pavo Cocida 200 g Sopraval | Pechuga De Pavo Cocida 125 g Sopraval | Pechuga de Pavo Cocida Sopraval 150 g,pechuga_pavo_cocida_sopraval_sin_marca,664;1040;12493
2,0.14kg,loncoleche;soprole,marcas distintas,Yoghurt Protein Con Trozos Sabor Mango Maracuyá Pote 140 g Loncoleche | Yoghurt Protein Con Trozos Sabor Mango Maracuyá Pote 155 gr Soprole,yoghurt_protein_con_trozos_sabor_mango,681;879
2,0.1kg;0.25kg,colun,formatos incompatibles,Queso Ranco Laminado Granel 250 g Colun | Queso ranco colun laminado granel 100 g,queso_ranco_laminado_granel_colun_general,732;29845
2,0.075kg;0.25kg,sin marca,formatos incompatibles,Jamón Colonial 75 g PF | Jamón Colonial 250 g PF,jamon_colonial_pf_sin_marca_general,742;1045
2,0.08kg;0.68kg,sin marca,formatos incompatibles,Maní Japones Clásico 680 g Kazai | Maní Japones Clásico 80 g Kazai,mani_japones_clasico_kazai_sin_marca,765;1698
2,0.5kg;1kg,sin marca,formatos incompatibles,Margarina Tradicional 500 g Qualy | Margarina Tradicional 1 Kg Qualy,margarina_tradicional_qualy_sin_marca_general,806;1042
2,0.125kg;0.25kg,calo,formatos incompatibles,Mantequilla Con Sal Tradicional 125 g Calo | Mantequilla Con Sal Tradicional 250 g Calo,mantequilla_con_sal_tradicional_calo_general,825;1021
2,0.25kg;0.5kg,san ignacio,formatos incompatibles,Queso Mantecoso Laminado 500 g San Ignacio | Queso Mantecoso Laminado 250 g San Ignacio,queso_mantecoso_laminado_san_ignacio_general,882;883
2,0.2l;1l,sin marca,formatos incompatibles,Bebida De Almendras Sabor Vainilla 1 L Vilay | Bebida De Almendras Sabor Vainilla 200 ml Vilay,bebida_almendras_sabor_vainilla_vilay_sin,913;916
4,0.12kg;0.13kg,sin marca,formatos incompatibles,Postre Chandelle Crema Sin Lactosa Manjar | Postre Chandelle Crema Manjar 120 g | Postre Chandelle Crema Sin Lactosa Manjar 120 g | Postre Chandelle Crema Sin Lactosa Manjar 130 g,postre_chandelle_crema_manjar_sin_marca,932;8268;8588;8705
2,0.125kg;0.15kg,sin marca,formatos incompatibles,Pechuga De Pavo Asada 125 g Sopraval | Pechuga de Pavo Asada Sopraval 150 g,pechuga_pavo_asada_sopraval_sin_marca,1041;12495
3,0.35l;0.8l,sin marca,formatos incompatibles,Jabón Crema Ballerina Piel Sensible | Jabón Crema Ballerina Piel Sensible 350 ml | Jabón Crema Ballerina Piel Sensible 800 ml,jabon_crema_ballerina_piel_sensible_sin,1112;9078;9170
4,0.75l;0.95l;1.3l,sin marca,formatos incompatibles,Jabón Ballerina Coco Y Jazmin | Jabón Líquido Ballerina Coco Jazmín 750 ml | Jabón Líquido Ballerina Coco Jazmín 1.3 L | Jabón Ballerina Coco Jazmín 950 ml,jabon_ballerina_coco_jazmin_sin_marca,1128;27346;27415;27492
3,0.35l;0.8l,sin marca,formatos incompatibles,Jabón Crema Ballerina Karité | Jabón Crema Ballerina Karité 800 ml | Jabón Crema Ballerina Karité 350 ml,jabon_crema_ballerina_karite_sin_marca,1130;8917;9138
2,0.2l;1l,sin marca,formatos incompatibles,Crema Vegetal Azucarada 200 ml Bravo Cream | Crema Vegetal Azucarada 1 L Bravo Cream,crema_vegetal_azucarada_bravo_cream_sin,1145;5931
2,0.078kg;0.4kg,sin marca,formatos incompatibles,Crema Pastelera 78 g Gourmet | Crema Pastelera Gourmet 400 g,crema_pastelera_gourmet_sin_marca_general,1152;8169
2,0.5kg;1kg,sin marca,formatos incompatibles,Pasta De Choclo 500 g Frutos del Maipo | Pasta de Choclo Frutos del Maipo 1 kg,pasta_choclo_frutos_del_maipo_sin,1191;12770
2,0.5kg;1kg,sin marca,formatos incompatibles,Papas Duquesa Congeladas 500 g Frutos del Maipo | Papas Duquesa Congeladas 1 Kg Frutos del Maipo,papas_duquesa_congeladas_frutos_del_maipo,1213;1224
2,0.7kg;1kg,sin marca,formatos incompatibles,Palta Hass Malla 700 g | Palta Hass Malla 1 kg,palta_hass_malla_sin_marca_general,1252;10500
2,0.5kg;1kg,sin marca,formatos incompatibles,Kiwi Amarillo Pote 500 g | Kiwi Amarillo Pote 1 kg,kiwi_amarillo_pote_sin_marca_general,1256;10468
2,0.5kg;1kg,sin marca,formatos incompatibles,Limón Sutil Malla 1 kg | Limón Sutil Malla 500 g,limon_sutil_malla_sin_marca_general,1258;10581
4,0.335kg;0.5kg,sin marca,formatos incompatibles,Pulpa Maracuya 500 g Minuto verde | Pulpa Maracuyá Minuto Verde 335 g | Pulpa de Maracuyá Minuto Verde 500 g | Pulpa Maracuya Minuto Verde 335 g,pulpa_maracuya_minuto_verde_sin_marca,1289;13051;13080;13827
2,0.18kg;0.24kg,sin marca,formatos incompatibles,Chips Plátano Frito 240 g | Chips de Plátano Frito 180 g,chips_platano_frito_sin_marca_general,1317;17778
2,0.125kg;0.2kg,sin marca,formatos incompatibles,Ají Verde Bandeja 125 g | Ají Verde Bandeja 200 g,aji_verde_bandeja_sin_marca_general,1409;10599
3,0.5kg;1kg,sin marca,formatos incompatibles,Papas Pre Fritas 1 Kg Minuto Verde | Papas Pre Fritas 500 g Minuto Verde | Papas Pre Fritas Minuto Verde 1 kg,papas_pre_fritas_minuto_verde_sin,1418;1423;12981
2,0.3kg;0.6kg,sin marca,formatos incompatibles,Ensalada Repollo Blanco Bolsa 300 g | Ensalada Repollo Blanco Bolsa 600 g,ensalada_repollo_blanco_bolsa_sin_marca,1499;10852
3,0.5l;0.75l;1l,sin marca,formatos incompatibles,Bebida Isotónica Frutas Tropicales Botella 500 ml Gatorade | Bebida Isotónica Frutas Tropicales Botella 1 L Gatorade | Bebida Isotónica Frutas Tropicales Botella 750 ml Gatorade,bebida_isotonica_frutas_tropicales_botella_gatorade,1562;1577;1580
2,0.265kg;0.2kg,sin marca,formatos incompatibles,Duraznos En Cubitos Caja Drenado 200 g - Neto 380 g Wasil | Duraznos En Cubitos Caja Drenado 265 g - Neto 500 g Wasil,duraznos_en_cubitos_caja_drenado_neto,1589;4256
3,0.34kg;0.48kg,lider;sin marca,marcas distintas; formatos incompatibles,Duraznos En Mitades Tarro Drenado 340 g - Neto 590 g Wasil | Duraznos En Mitades Tarro Drenado 340 g - Neto 580 g Aconcagua | Duraznos En Mitades Tarro Drenado 480 g- Neto 820 g Lider,duraznos_en_mitades_tarro_drenado_neto,1627;1629;1631
2,0.255l;0.36l,sin marca,formatos incompatibles,Desodorante Ambiental Aerosol Placer Floral Y Frutos Rojos Lata 360 cc Glade | Desodorante Ambiental Aerosol Placer Floral Y Frutos Rojos Lata 255 ml Glade,desodorante_ambiental_aerosol_placer_floral_frutos,1676;1700
2,0.15kg;0.4kg,sin marca,formatos incompatibles,Maní Tostado Sin Sal 400 g Sembrasol | Maní Tostado Sin Sal 150 g Sembrasol,mani_tostado_sal_sembrasol_sin_marca,1715;1716
5,0.042kg;0.2kg;0.35kg;0.4kg;0.9kg,sin marca,formatos incompatibles,Maní Japonés 350 g De La Rosa | Maní Japonés de La Rosa 200 g | Maní Japonés de La Rosa 400 g | Maní Japonés de La Rosa 42 g | Maní Japonés de La Rosa 900 g,mani_japones_rosa_sin_marca_general,1719;18450;18563;18586;19150
4,0.15kg;0.38kg,sin marca,formatos incompatibles,Maní Sin Sal 150 g Marco Polo | Maní Sin Sal 380 g Marco Polo | Maní Sin Sal Marco Polo 150 g | Maní Sin Sal Marco Polo 380 g,mani_sal_marco_polo_sin_marca,1721;1763;18357;18674
2,0.14kg;0.38kg,sin marca,formatos incompatibles,Maní Salado 140 g Evercrisp | Mani Salado 380 g Evercrisp,mani_salado_evercrisp_sin_marca_general,1734;1745
2,0.14kg;0.38kg,sin marca,formatos incompatibles,Mani Sin Sal 380 g Evercrisp | Maní Sin Sal 140 g Evercrisp,mani_sal_evercrisp_sin_marca_general,1744;1782
3,0.07kg;0.08kg,sin marca,formatos incompatibles,Trail Mix 70 g Frutisa | Trail Mix Frutisa 70 g | Trail Mix Frutisa 80 g,trail_mix_frutisa_sin_marca_general,1747;18641;19133
2,0.15kg;0.4kg,sin marca,formatos incompatibles,Maní Tostado Salado 400 g Sembrasol | Maní Tostado Salado 150 g Sembrasol,mani_tostado_salado_sembrasol_sin_marca,1754;1755
4,0.15kg;0.38kg,sin marca,formatos incompatibles,Maní Salado 150 g Marco Polo | Maní Salado 380 g Marco Polo | Maní Salado Marco Polo 150 g | Maní Salado Marco Polo 380 g,mani_salado_marco_polo_sin_marca,1761;1762;18333;18636
2,0.15kg;0.1kg,sin marca,formatos incompatibles,Pasas Corinto 150 g Marco Polo | Pasas Corinto Marco Polo 100 g,pasas_corinto_marco_polo_sin_marca,1764;18676
2,1.2kg;1.4kg,omo,formatos incompatibles,"Carne De Vacuno Lomo Vetado 1,2 kg Al Vacío | Carne De Vacuno Lomo Vetado 1,4 kg Al Vacío",carne_vacuno_lomo_vetado_al_vacio,1815;1834
3,0.026kg;0.03kg,lider;sin marca,marcas distintas; formatos incompatibles,Base Para Carne Mongoliana (5 Porciones) Sobre 30 g Lider | Base Para Carne Mongoliana (5 Porciones) Sobre 30 g Gourmet | Base Para Carne Mongoliana (5 Porciones) Sobre 26 g Maggi,base_para_carne_mongoliana_5_porciones,1870;1875;1936
3,0.036kg,lider;sin marca,marcas distintas,Base Para Carne A La Cacerola (6 Porciones) Sobre 36 g Maggi | Base Para Carne A La Cacerola (6 Porciones) Sobre 36 g Gourmet | Base Para Carne A La Cacerola (6 Porciones) Sobre 36g Lider,base_para_carne_a_cacerola_6,1873;1876;1919
2,0.1kg;1kg,sin marca,formatos incompatibles,Hamburguesa De Vacuno Y Cerdo Con Carne Angus 100 g La Preferida | Hamburguesa De Vacuno Y Cerdo Con Carne De Angus Pack 10 Un 1 kg La Preferida,hamburguesa_vacuno_cerdo_con_carne_angus,1880;1945
2,0.085kg;0.1kg,sin marca,formatos incompatibles,Alimento Húmedo Cachorro Sabor Carne Pouch 85 g Pedigree | Alimento Húmedo Cachorro Sabor Carne Pouch 100 g Dog Chow,alimento_humedo_cachorro_sabor_carne_pouch,1886;1956
9,1kg;3kg;8kg,sin marca,formatos incompatibles,Alimento Seco Gato Adulto Sabor Carne Bolsa 3 Kg Whiskas | Alimento Seco Gato Adulto Sabor Carne Bolsa 1 Kg Whiskas | Alimento Seco Gato Adulto Sabor Carne Bolsa 3 Kg Master Cat | Alimento Seco Gato Adulto Sabor Carne Bolsa 3 Kg Champion Cat | Alimento Seco Gato Adulto Sabor Carne Bolsa Delimix 1 Kg Cat Chow,alimento_seco_gato_adulto_sabor_carne,1887;1892;1906;1907;1916;1920;1952;1954;1961
2,2kg;6kg,sin marca,formatos incompatibles,Alimento Seco Cachorro Pollo Y Carne Bolsa 2 Kg Purina One | Alimento Seco Cachorro Pollo Y Carne Bolsa 6 Kg Purina One,alimento_seco_cachorro_pollo_carne_bolsa,1890;1944
2,1kg;3kg,sin marca,formatos incompatibles,Alimento Seco Gatito Sabor Carne Bolsa 1 Kg Cat Chow | Alimento Seco Gatito Sabor Carne Bolsa 3 Kg Cat Chow,alimento_seco_gatito_sabor_carne_bolsa,1904;1957
4,0.064kg;0.085kg,sin marca,formatos incompatibles,Pasta Fideos Instantáneos Ramen Sabor Carne Asada 64 g Maruchan | Pasta Fideos Instantáneos Ramen Sabor Carne 64 g Great Value | Pasta Fideos Instantáneos Ramen Sabor Carne Bolsa 85 g Great Value | Pasta Fideos Instantáneos Ramen Sabor Carne Bolsa 85 g Nissin,pasta_fideos_instantaneos_ramen_sabor_carne,1908;1910;1951;1958
8,2kg;3kg;8kg,sin marca,formatos incompatibles,Alimento Seco Perro Adulto Raza Pequeña Carne Y Vegetales Bolsa 8 Kg Pedigree | Alimento Seco Perro Adulto Raza Pequeña Carne Bolsa 3 Kg Master Dog | Alimento Seco Perro Adulto Raza Pequeña Carne Y Pollo Bolsa 8 Kg Dog Chow | Alimento Seco Perro Adulto Raza Pequeña Carne Y Vegetales Bolsa 3 Kg Pedigree | Alimento Seco Perro Adulto Raza Pequeña Carne Y Pollo Bolsa 3 Kg Dog Chow,alimento_seco_perro_adulto_raza_pequena,1913;1917;1923;1930;1931;1959;1976;1985
9,12kg;15kg;3kg,sin marca,formatos incompatibles,Alimento Seco Perro Adulto Raza Mediana/grande Carne Y Cereales Bolsa 3 Kg Cannes | Alimento Seco Perro Adulto Raza Mediana/grande Sabor Carne Bolsa 3 Kg Master Dog | Alimento Seco Perro Adulto Raza Mediana/grande Carne Y Pollo Bolsa 12 kg Dog Chow | Alimento Seco Perro Adulto Raza Mediana/grande Carne Y Cereales Bolsa 3 Kg Champion Dog | Alimento Seco Perro Adulto Raza Mediana/grande Carne Y Cereales Bolsa 15 Kg Cannes,alimento_seco_perro_adulto_raza_mediana,1914;1925;1928;1960;1964;1971;1977;1978;1986
4,0.085kg;0.1kg,sin marca,formatos incompatibles,Alimento Húmedo Perro Adulto Raza Pequeña Sabor Carne Pouch 100 g Pedigree | Alimento Húmedo Perro Adulto Raza Pequeña Sabor Carne Pouch 100 g Dog Chow | Alimento Húmedo Perro Adulto Raza Pequeña Trocitos Sabor Carne Pouch 85 g Master Dog | Alimento Húmedo Perro Adulto Raza Pequeña Sabor Pollo Pouch 100 g Pedigree,alimento_humedo_perro_adulto_raza_pequena,1924;1982;1983;5996
7,0.085kg;0.1kg,sin marca,formatos incompatibles,Alimento Húmedo Gato Adulto Trocitos Sabor Carne Pouch 85 g Master Cat | Alimento Húmedo Gato Adulto Trocitos Sabor Carne Pouch 100 g Champion Cat | Alimento Húmedo Gato Adulto Trocitos Sabor Salmón Pouch 85 g Master Cat | Alimento Húmedo Gato Adulto Trocitos Sabor Atún Pouch 85 g Master Cat | Alimento Húmedo Gato Adulto Trocitos Sabor Salmón Y Sardina Pouch 100 g Champion Cat,alimento_humedo_gato_adulto_trocitos_sabor,1926;1965;6022;6023;6024;6025;6026
2,12kg;3kg,sin marca,formatos incompatibles,Alimento Seco Perro Adulto Multi Proteina Carne Bolsa 12 kg Dog Chow | Alimento Seco Perro Adulto Multi Proteina Carne Bolsa 3 kg Dog Chow,alimento_seco_perro_adulto_multi_carne,1970;1980
3,1kg;2.1kg;3kg,sin marca,formatos incompatibles,"Alimento Seco Gato Adulto Sabor Pollo Bolsa 2,1 Kg Animal Planet | Alimento Seco Gato Adulto Sabor Pollo Bolsa 1 Kg Whiskas | Alimento Seco Gato Adulto Sabor Pollo Bolsa 3 Kg Master Cat",alimento_seco_gato_adulto_sabor_pollo,1987;6008;6013
2,0.2kg;0.4kg,sin marca,formatos incompatibles,Nugget Salmón 400 g La Crianza | Nugget Salmón 200 g La Crianza,nugget_salmon_crianza_sin_marca_general,2067;2162
2,0.5kg;1kg,lider,formatos incompatibles,Camarón Grande Con Cáscara Con Cola Cocido 500 g Lider | Camarón Grande Con Cáscara Con Cola Cocido 1 kg Lider,camaron_grande_con_cascara_cola_cocido,2085;2130
2,0.2kg;0.5kg,lider,formatos incompatibles,Camarón Pequeño Pelado Sin Cola Cocido 500 g Lider | Camarón Pequeño Pelado Sin Cola Cocido 200 g Lider,camaron_pequeno_pelado_sin_cola_cocido,2086;2134
2,0.5kg;1kg,lider,formatos incompatibles,Camarón Mediano Pelado Con Cola Cocido 1 kg Lider | Camarón Mediano Pelado Con Cola Cocido 500 g Lider,camaron_mediano_pelado_con_cola_cocido,2135;2136
9,1kg;3kg;8kg,sin marca,formatos incompatibles,Alimento Seco Gato Adulto Sabor Pescado Arroz Y Espinaca Bolsa 1 Kg Gati | Alimento Seco Gato Adulto Sabor Pescado Bolsa 3 Kg Champion Cat | Alimento Seco Gato Adulto Sabor Pescado Bolsa 1 Kg Whiskas | Alimento Seco Gato Adulto Sabor Pescado Bolsa 8 Kg Whiskas | Alimento Seco Gato Adulto Sabor Pescado Bolsa 3 Kg Cat Chow,alimento_seco_gato_adulto_sabor_pescado,2142;2143;2144;2145;2147;2148;2149;2152;2153
2,2kg;8kg,sin marca,formatos incompatibles,Alimento Seco Gato Adulto Esterilizado Sabor Pescado Bolsa 8 Kg Cat Chow | Alimento Seco Gato Adulto Esterilizado Sabor Pollo Y Salmón Bolsa 2 Kg Purina One,alimento_seco_gato_adulto_esterilizado_sabor,2155;6021
2,0.091kg;0.104kg,sin marca,formatos incompatibles,Atún Lominto Aceite Lata Drenado 104 g - Neto 160 g Angelmo | Atún Lominto Aceite Lata Drenado 91 g - Neto 140 g La Romana,atun_lominto_aceite_lata_drenado_neto,2192;2629
2,0.1kg;0.213kg,lider,formatos incompatibles,Surtido De Mariscos Aceite De Maravilla Lata Drenado 213 g - Neto 425 g Lider | Surtido De Mariscos Aceite De Maravilla Lata Drenado 100 g - Neto 190 g Lider,surtido_mariscos_aceite_maravilla_lata_drenado,2196;2199
4,0.185kg;0.1kg;0.225kg,sin marca,formatos incompatibles,Hamburguesa De Vacuno 100 g Receta del Abuelo | Hamburguesa de Vacuno Receta del Abuelo 100 g | Hamburguesa de Vacuno Receta del Abuelo 185 g | Hamburguesa de Vacuno Receta del Abuelo 225 g,hamburguesa_vacuno_receta_del_abuelo_sin,2206;10991;11234;11239
4,0.15kg;0.1kg;0.6kg,sin marca,formatos incompatibles,Hamburguesa De Vacuno 100 g La Crianza | Hamburguesa De Vacuno 600 g La Crianza | Hamburguesa de Vacuno La Crianza 100 g | Hamburguesa de Vacuno La Crianza 150 g,hamburguesa_vacuno_crianza_sin_marca_general,2214;2336;11662;11680
2,0.125kg;0.185kg,sin marca,formatos incompatibles,Hamburguesa De Vacuno Chuck Roll 185 g A Punto | Hamburguesa De Vacuno Chuck Roll 125 g A Punto,hamburguesa_vacuno_chuck_roll_a_punto,2298;2380
3,1l,lider;sin marca,marcas distintas,"Helado Trisabor Chocolate, Frutilla Y Vainilla Cassata 1 L Bresler | Helado Trisabor Chocolate, Frutilla Y Vainilla Cassata 1 L Savory | Helado Trisabor Chocolate, Frutilla Y Vainilla Cassata 1 L Lider",helado_trisabor_chocolate__frutilla_vainilla_cassata,2314;2394;2415
2,0.09kg;0.54kg,sin marca,formatos incompatibles,Churrasco De Vacuno 90 g Llanquihue | Churrasco Vacuno Llanquihue 540 g,churrasco_vacuno_llanquihue_sin_marca_general,2377;11356
2,1.01l;1.08l,sin marca,formatos incompatibles,"Helado Cono Sabor Vanilla Con Cobertura De Chocolate Variedades 8 Un Caja 1,08 L Great Value | Helado Cono Sabor Vanilla Con Cobertura De Chocolate Y Maní 8 Un Caja 1,01 L Great Value",helado_cono_sabor_vanilla_con_cobertura,2389;2436
2,0.4kg;1kg,sin marca,formatos incompatibles,Nuggets De Pollo 400 g Super Pollo | Nuggets De Pollo 1 kg Super Pollo,nuggets_pollo_super_sin_marca_general,2413;2416
3,1kg,cuisine & co;lider;tucapel,marcas distintas,Arroz Grado 2 Grano Largo Y Ancho Bolsa 1 kg Lider | Arroz Grado 2 Cuisine & Co Grano Largo y Ancho 1 kg | Arroz Grado 2 Tucapel Grano Largo y Ancho Graneado 1 kg,arroz_grado_2_grano_largo_ancho,2473;14275;14291
