cantidad_productos,formatos,marcas,motivos,muestra_nombres,producto_base,productos_ids
2,0.25kg;0.53kg,sin marca,formatos incompatibles,Chocolate de Leche Costa Nuss 250 g | Chocolate de Leche Costa Nuss 530 g,chocolate_leche_costa_nuss_sin_marca,18801;18834
2,0.2kg;0.4kg,sin marca,formatos incompatibles,Chocolate de Leche Toblerone Tiny 200 g | Chocolate de Leche Toblerone Tiny 400 g,chocolate_leche_toblerone_tiny_sin_marca,18852;18870
3,0.1kg;0.25kg,sin marca,formatos incompatibles,Chocolate de Leche Ritter Sport Sin Lactosa 100 g | Chocolate de Leche Ritter Sport 250 g | Chocolate de Leche Ritter Sport 100 g,chocolate_leche_ritter_sport_sin_marca,18916;18930;18957
3,0.117kg;0.1kg;0.25kg,sin marca,formatos incompatibles,Chocolate de Leche Ritter Sport con Avellanas Enteras 100 g | Chocolate de Leche Ritter Sport con Avellanas Mini 117 g | Chocolate de Leche Ritter Sport con Avellanas Trozadas 250 g,chocolate_leche_ritter_sport_con_avellanas,18932;18953;19154
5,0.2l;0.4l;1.5l;1l,sin marca,formatos incompatibles,Néctar del Valle Naranja 200 ml | Néctar del Valle Naranja 1.5 L | Néctar del Valle Naranja 400 cc | Néctar del Valle Naranja Light 1 L | Néctar del Valle Naranja 1 L,nectar_del_valle_naranja_sin_marca,18979;21455;21605;21993;21994
3,0.2l;1.5l,sin marca,formatos incompatibles,Néctar Watt's Piña 200 cc | Néctar Watt's Piña Light 200 ml | Néctar Watt's Piña 1.5 L,nectar_watt_s_pina_sin_marca,18981;19178;21340
2,0.2l;1.5l,sin marca,formatos incompatibles,Néctar Livean Naranja 200 ml | Néctar Livean Naranja 1.5 L,nectar_livean_naranja_sin_marca_general,18983;21571
4,0.2l;0.3l;1.5l,sin marca,formatos incompatibles,Néctar Watt's Naranja 200 cc | Néctar Watt's Naranja Light 200 cc | Néctar Watt's Naranja 1.5 L | Néctar Watt's Naranja 300 ml,nectar_watt_s_naranja_sin_marca,18984;18985;21343;21646
2,0.2l;1.5l,sin marca,formatos incompatibles,Néctar Livean Manzana 200 ml | Néctar Livean Manzana 1.5 L,nectar_livean_manzana_sin_marca_general,18990;21539
2,0.2l;1.5l,sin marca,formatos incompatibles,Néctar Livean Durazno 200 ml | Néctar Livean Durazno 1.5 L,nectar_livean_durazno_sin_marca_general,18991;21564
